Case_ID,ReportDate,Case_Type,Crime_Type,Case_Status,Description
910963059,2008-09-04,High Profile,10,Out of the court settlement,DLF group's Director of HR identified as key accused in a case of corporate embezzlement
1980303919,2017-09-12,Low Profile,4,Accused under judicial custody,Homicide case registered against man aged 44
1381266096,2012-03-29,Low Profile,20,Undergoing investigation,Null
1356680813,2011-07-29,Low Profile,22,Investigation transferred to CBI,Null
1166129318,2016-08-15,Low Profile,12,Extent of punishment declaration,"Rape of a girl aged 32 on a moving bus, deeply hurt and thrown off the bus"
1342336747,2013-12-08,Low Profile,26,Trial due in 10 months,Ancient Indian scupltures forged and sold illegally by a group of 4 men
1500151558,1990-02-13,Low Profile,27,Investigation Officer not appointed,"Girl aged 21 murdered on way back home from college, 3 witnesses reported a suspect"
1754297261,1981-05-15,Low Profile,12,Extent of punishment declaration,"Twin girls raped in care home by owner of the care home for 5 months, girls suffered deep mental trauma"
1037317897,2003-12-28,Low Profile,4,Bail issued to accused,Homicide case registered against man aged 55
727333184,1986-08-29,Low Profile,28,Investigation held,"Man aged 26, accused of trespassing the National History Museum and stealing Indus valley artifacts"
921185056,2008-12-10,Low Profile,11,Trial due in 24 months,"Boy aged 12, abused and assualted under drug influence"
245377563,1987-11-20,Low Profile,4,Investigation Officer appointed,Null
1417484869,2014-12-19,Low Profile,10,Case reported,Null
763410527,2020-11-05,High Profile,25,Trial due in 12 months,DLF group's Director identified as key accused in a case of corporate embezzlement
374375907,1982-03-20,High Profile,14,Investigation transferred to CBI,Actor and Mogul Rama Raj commits suicide by jumping from the terrace of Mumbai home
895772237,2007-08-02,Low Profile,6,Investigation transferred to subsidiary state,"Man aged 32, accused of drinking under influence and destroying property"
1333217203,2005-01-05,Low Profile,2,Accused under judicial custody,"Woman aged 25, domestically abused by husband over a period of 2 months"
652930834,1970-09-13,Low Profile,21,Case reported,Null
272645873,1999-01-24,Low Profile,10,Investigation Officer not appointed,Null
1872142666,2009-08-22,Low Profile,19,Jurisdiction Dispute,"SUV was stolen from Rampur, Uttar Pradesh. Car contained valuables"
695672187,1974-05-07,High Profile,6,Bail issued to accused,TV actor Puneet Nal accused of driving under influence in Navi Mumbai
2112313298,1975-02-09,High Profile,8,Case closed,Assistant Publicity Head of MG Group held for corporate fraud
1778960224,1997-07-22,Low Profile,21,FIR Registered,Illegal trade
1028951380,1973-09-28,Low Profile,18,Investigation transferred to CBI,"Second degree murder of a girl aged 22, resident of Dwarka, New Delhi"
698641399,2020-09-24,Low Profile,9,Announcement of punishment and criminal sentenced,Null
1369477670,2000-10-07,High Profile,25,Investigation transferred to CBI,"Monetary fraud commited by income tax officer, aged 62"
314761517,1973-10-21,Low Profile,18,Extent of punishment declaration,Trans man murdered in a duel with friend
917857437,1995-06-06,Low Profile,12,Announcement of punishment and criminal sentenced,"Trans man raped in Delhi by 3 other men over a period of 3 months, deeply injured the victim"
2036602069,2001-08-21,Low Profile,29,Bail issued to accused,"Used suspended license to drive on national highway, violated norms"
1573424983,1988-12-03,Low Profile,9,Extent of punishment declaration,"Illegal sex racket in Uttar Pradesh, accused identified as a woman aged 32"
1449940407,1983-12-15,Low Profile,19,FIR Registered,"Sedan, Honda black colour was stolen from Gurgaon region in Delhi"
842958363,2010-02-05,Low Profile,9,Investigation Officer appointed,Null
1599478539,2006-11-05,Low Profile,27,Out of the court settlement,"3 men murdered by use of force, killer unidentified"
1986592830,2020-02-19,Low Profile,13,Jurisdiction Dispute,"Woman reported domestic abuse at home by husband, prolonged over a period of 4 months"
2047901384,2003-06-17,Low Profile,18,Accused under judicial custody,"Man aged 33, murdered over ongoing disputes with family members, primary suspects unidentified"
2017024418,2020-11-03,Low Profile,30,Undergoing forensic investigation,"Woman aged 23 put under prostitution, trafficked from rural village in north east India"
474585454,2019-11-28,High Profile,31,Trial due in 40 days,Illegal trade of hash and marijuna across borders through Bangladesh and Sri Lanka
35252811,2015-10-16,Low Profile,32,Stay from the court issued,Group of 3 men accused of stealing gems and pendents from a jewel mart in Delhi
880851031,2003-02-26,Low Profile,32,FIR Registered,"Woman, age 23 identified as a key accused for stealing precious stones from a stone exhbit in Pragati Maidan"
988273248,1998-08-03,Low Profile,33,FIR Registered,Case registered as a 66 year old man died on the spot after being hit by a speeding sedan
471848911,2008-09-02,Low Profile,1,Investigation transferred to CBI,Misuse of identity of Amazon Professional in regard of Amazon Pay license online
1190149899,2020-05-24,High Profile,34,Investigation Officer appointed,GM insurance company's Director accused of laundereing money of about 100 million people
884078044,1991-02-02,Low Profile,22,Jurisdiction Dispute,Null
1664896739,2003-09-28,Low Profile,18,Extent of punishment declaration,"2 men stabbed and murdered in duel, witness deeply hurt. Incident reported in the neighbourhood of Navi Mumbai"
2099921108,1992-11-10,High Profile,8,Announcement of punishment and criminal sentenced,Assistant Director of MG Group held for corporate fraud and blackmailing
2065377368,2011-11-30,Low Profile,32,FIR Registered,"Group of 3 teenagers, booked for stealing video games and comic books from a bookstore in Kolkata"
1181013776,2004-10-18,Low Profile,35,Stay from the court issued,"Destruction of historical property, Red Fort New Delhi in a"
1990944604,1976-04-12,Low Profile,11,Investigation transferred to subsidiary state,"Boy aged 5, traumatised by use of force, assualted"
1051617079,2008-10-10,Low Profile,26,Accused under judicial custody,Van Gogh paintings forged and sold illegally by a group of 4 men
1161849004,1981-03-30,Low Profile,14,Undergoing forensic investigation,Boy age 21 commits suicide by hanging from ceiling fan
541414062,2007-03-01,Low Profile,22,Stay from the court issued,Null
2050050402,1992-06-08,Low Profile,19,FIR Registered,Car and Bike missing from Faridabad. Registartin plates missing
911357248,2003-09-03,Low Profile,36,Undergoing forensic investigation,"Boy aged 12, abused and assualted under drug influence"
2048236920,1977-01-08,Low Profile,12,Jurisdiction Dispute,"Minor aged 11 raped for 2 months, accused identifying"
1535189399,1998-04-17,Low Profile,32,Second trial scheduled,"Clothes stolen by a group of 4 women over a period of 4 months from the H&M store in CP, New Delhi"
1318978313,2017-06-11,Low Profile,37,Stay from the court issued,Wire Fraud commited over monetary transactions from International Bank of Commerce
1720962522,1997-08-14,Low Profile,12,Undergoing forensic investigation,"Minor aged 13 raped by a group of 3 juveniles in the Rampur, UP"
1402458714,1997-11-05,High Profile,8,Investigation Officer appointed,Assistant HR Head of MG Group held for corporate fraud
1565548721,1982-05-03,High Profile,16,Accused under judicial custody,"Tax fraud commited by famous TV actress Sapna Rabbi, long term money laundered"
